index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,prediction
25119,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
62830,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5835,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
48931,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
105193,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
93220,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
87432,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
70857,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
85436,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
91049,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
99457,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
36679,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
60405,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
63108,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
35457,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
80885,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
33430,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
34764,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
23195,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
42855,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
74097,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
76029,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
10586,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
52940,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
86887,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
16964,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
17702,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
62085,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
44480,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
91118,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
43077,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
105820,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
72083,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
72756,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
93024,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
82813,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
54683,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
71881,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
100812,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
93114,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
3180,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
45035,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
97616,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
83096,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
87880,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
78555,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1392,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
30868,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
11627,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
53015,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26261,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
62610,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
106141,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
23876,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
22290,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
92289,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
95081,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
78482,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
16376,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
54114,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
12352,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
25018,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
63256,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
65744,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
46589,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
94582,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
82035,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
93414,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
23514,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
86902,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
66315,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
74302,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
74804,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2140,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
67075,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
37670,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
20246,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
96180,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
77082,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
26666,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
101964,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
70439,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
66681,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
67037,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
93343,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
96695,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
85395,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
60887,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
4926,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
55131,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
95895,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
107060,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
13644,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
11655,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
73660,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
66681,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
56609,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
46190,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
84056,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
98637,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
71576,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2735,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
83322,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
62901,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
104175,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
53439,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
73056,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
59334,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
92929,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
75343,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
98318,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
94619,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
